ServerName|Location|Type|Cores|Memory|Owner|OS|BuildDate|Health|LastReboot|LastInventory
SRVW0000015854|New York|VMware Virtual|2|16|FX|Windows 2008 R2|2012-11-17|Good|2013-04-27|2013-10-20
SRVW0000015872|Singapore|HP Proliant DL380 G7|16|144|Wealth|Windows 2003 R2|2012-08-14|Good|2013-03-11|2013-10-20
SRVU0000015938|London|HP Proliant DL380 G7|16|64|Commodities|RHEL 5|2012-06-26|Good|2013-02-14|2013-10-20
SRVW0000016031|London|HP Proliant DL380 G5|8|32|Retail|Windows 2008 R2|2012-10-22|Good|2013-04-14|2013-10-20
SRVW0000016069|London|VMware Virtual|2|16|Equities|Windows 2003 R2|2011-06-18|Good|2012-08-11|2013-10-20
SRVW0000016075|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-11-12|Good|2012-10-24|2013-10-20
SRVW0000016083|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2013-06-11|Good|2013-08-08|2013-10-20
SRVW0000016179|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-02-24|Good|2012-12-15|2013-10-20
SRVU0000016233|London|VMware Virtual|2|16|Equities|RHEL 6|2013-01-23|Good|2013-05-31|2013-10-20
SRVU0000016234|Tokyo|HP Proliant DL380 G7|16|72|Retail|RHEL 6|2012-07-16|Good|2013-02-24|2013-10-20
SRVU0000016276|London|VMware Virtual|2|16|Wealth|RHEL 5|2011-04-17|Good|2012-07-11|2013-10-20
SRVW0000016284|New York|HP Proliant DL380 G7|16|64|Commodities|Windows 2003 R2|2013-08-24|Good|2013-09-14|2013-10-20
SRVU0000016313|London|VMware Virtual|2|16|Retail|RHEL 6|2010-12-23|Good|2012-05-15|2013-10-20
SRVW0000016360|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-08-02|Good|2012-09-03|2013-10-20
SRVU0000016404|Tokyo|HP Proliant DL380 G7|16|144|Equities|RHEL 6|2013-07-22|Good|2013-08-29|2013-10-20
SRVW0000016436|New York|VMware Virtual|2|16|FX|Windows 2008 R2|2011-01-29|Good|2012-06-02|2013-10-20
SRVW0000016442|Tokyo|HP Proliant DL380 G5|8|16|Commodities|Windows 2003 R2|2011-10-22|Good|2012-10-13|2013-10-20
SRVW0000016445|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2003 R2|2012-08-14|Good|2013-03-11|2013-10-20
SRVW0000016532|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-10-15|Good|2013-04-11|2013-10-20
SRVU0000016629|London|HP Proliant DL380 G5|4|16|Retail|RHEL 5|2012-01-18|Good|2012-11-26|2013-10-20
SRVW0000016658|London|HP Proliant DL380 G7|16|144|Equities|Windows 2008 R2|2013-01-11|Good|2013-05-25|2013-10-20
SRVU0000016731|Singapore|VMware Virtual|2|16|Retail|RHEL 6|2011-08-07|Good|2012-09-05|2013-10-20
SRVW0000016814|London|HP Proliant DL380 G8|8|32|Equities|Windows 2008 R2|2011-03-20|Good|2012-06-27|2013-10-20
SRVW0000016854|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-06-05|Good|2013-02-04|2013-10-20
SRVW0000016914|Singapore|HP Proliant DL380 G7|16|144|Retail|Windows 2008 R2|2013-08-29|Good|2013-09-17|2013-10-20
SRVW0000016956|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-08-21|Good|2013-03-14|2013-10-20
SRVU0000017033|London|HP Proliant DL380 G5|8|32|Retail|RHEL 6|2012-07-18|Good|2013-02-25|2013-10-20
SRVW0000017114|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-03-04|Good|2013-06-20|2013-10-20
SRVW0000017179|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2011-10-05|Good|2012-10-05|2013-10-20
SRVW0000017211|London|HP Proliant DL380 G5|8|64|Retail|Windows 2008 R2|2011-08-30|Good|2012-09-17|2013-10-20
SRVW0000017253|London|HP Proliant DL380 G7|16|64|Commodities|Windows 2003 R2|2011-03-13|Good|2012-06-24|2013-10-20
SRVU0000017256|London|VMware Virtual|2|16|Equities|RHEL 5|2013-09-04|Good|2013-09-20|2013-10-20
SRVW0000017321|New York|HP Proliant DL380 G5|4|8|FX|Windows 2008 R2|2011-01-25|Good|2012-05-31|2013-10-20
SRVW0000017327|Singapore|VMware Virtual|2|16|Equities|Windows 2008 R2|2010-12-12|Good|2012-05-09|2013-10-20
SRVW0000017387|London|HP Proliant DL380 G8|8|32|FX|Windows 2008 R2|2011-03-18|Good|2012-06-26|2013-10-20
SRVU0000017427|London|VMware Virtual|2|16|FX|RHEL 4|2013-08-10|Good|2013-09-07|2013-10-20
SRVW0000017512|London|HP Proliant DL380 G5|4|16|Corporate|Windows 2008 R2|2012-01-07|Good|2012-11-21|2013-10-20
SRVU0000017517|London|HP Proliant DL380 G7|16|64|Wealth|RHEL 6|2012-03-30|Good|2013-01-01|2013-10-20
SRVW0000017582|New York|HP Proliant DL380 G5|8|64|Retail|Windows 2008 R2|2013-01-05|Good|2013-05-22|2013-10-20
SRVU0000017653|London|VMware Virtual|2|16|Equities|RHEL 6|2013-03-26|Good|2013-07-01|2013-10-20
SRVU0000017709|London|VMware Virtual|2|16|Retail|RHEL 6|2012-01-25|Good|2012-11-30|2013-10-20
SRVU0000017711|London|VMware Virtual|2|16|Retail|RHEL 5|2011-09-27|Good|2012-10-01|2013-10-20
SRVW0000017716|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-02-22|Good|2012-06-14|2013-10-20
SRVW0000017718|New York|HP Proliant DL380 G8|8|64|Commodities|Windows 2008 R2|2011-06-06|Good|2012-08-05|2013-10-20
SRVU0000017774|London|VMware Virtual|2|16|Retail|RHEL 5|2012-12-06|Good|2013-05-07|2013-10-20
SRVU0000017796|London|HP Proliant DL380 G6|8|24|Retail|RHEL 5|2013-01-07|Good|2013-05-23|2013-10-20
SRVW0000017880|London|VMware Virtual|2|16|FX|Windows 2003 R2|2010-12-24|Good|2012-05-15|2013-10-20
SRVW0000017969|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-04-21|Good|2013-01-12|2013-10-20
SRVW0000018002|Singapore|VMware Virtual|2|16|FX|Windows 2003 R2|2013-08-18|Good|2013-09-11|2013-10-20
SRVU0000018026|London|HP Proliant DL380 G6|8|24|Equities|RHEL 6|2013-02-18|Good|2013-06-13|2013-10-20
SRVW0000018061|Singapore|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-07-06|Good|2012-08-20|2013-10-20
SRVU0000018074|London|HP Proliant DL380 G5|8|32|Retail|RHEL 5|2012-03-06|Good|2012-12-20|2013-10-20
SRVW0000018132|London|HP Proliant DL380 G5|4|16|Retail|Windows 2008 R2|2011-11-24|Good|2012-10-30|2013-10-20
SRVW0000018150|London|HP Proliant DL380 G7|16|72|FX|Windows 2008 R2|2012-12-12|Good|2013-05-10|2013-10-20
SRVW0000018214|New York|HP Proliant DL380 G8|8|32|Commodities|Windows 2003 R2|2013-07-22|Good|2013-08-29|2013-10-20
SRVU0000018309|London|HP Proliant DL380 G7|16|64|Equities|RHEL 6|2011-07-12|Good|2012-08-23|2013-10-20
SRVU0000018342|London|VMware Virtual|2|16|Retail|RHEL 5|2013-04-11|Good|2013-07-09|2013-10-20
SRVU0000018378|London|HP Proliant DL380 G5|4|16|Retail|RHEL 6|2013-04-25|Good|2013-07-16|2013-10-20
SRVW0000018394|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-02-15|Good|2012-12-10|2013-10-20
SRVW0000018396|London|VMware Virtual|2|16|FX|Windows 2008 R2|2013-08-26|Good|2013-09-15|2013-10-20
SRVW0000018425|London|HP Proliant DL380 G5|4|16|Commodities|Windows 2003 R2|2011-05-09|Good|2012-07-22|2013-10-20
SRVW0000018440|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2010-12-20|Good|2012-05-13|2013-10-20
SRVU0000018468|Tokyo|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-11-19|Good|2013-04-28|2013-10-20
SRVU0000018480|London|VMware Virtual|2|16|Commodities|RHEL 6|2013-05-06|Good|2013-07-21|2013-10-20
SRVW0000018484|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-03-10|Good|2013-06-23|2013-10-20
SRVU0000018584|London|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2013-06-23|Good|2013-08-14|2013-10-20
SRVW0000018660|London|HP Proliant DL380 G7|16|64|Corporate|Windows 2008 R2|2012-06-15|Good|2013-02-09|2013-10-20
SRVW0000018758|New York|HP Proliant DL380 G5|4|8|FX|Windows 2008 R2|2013-02-23|Good|2013-06-15|2013-10-20
SRVW0000018789|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2011-11-10|Good|2012-10-23|2013-10-20
SRVW0000018805|London|HP Proliant DL380 G5|4|16|Commodities|Windows 2003 R2|2013-08-25|Good|2013-09-15|2013-10-20
SRVW0000018835|London|HP Proliant DL380 G5|8|16|Equities|Windows 2008 R2|2012-09-18|Good|2013-03-28|2013-10-20
SRVW0000018842|New York|VMware Virtual|2|16|Corporate|Windows 2003 R2|2013-02-07|Good|2013-06-07|2013-10-20
SRVU0000018909|Tokyo|VMware Virtual|2|16|Retail|RHEL 6|2013-08-28|Good|2013-09-16|2013-10-20
SRVW0000019006|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2003 R2|2011-03-18|Good|2012-06-26|2013-10-20
SRVW0000019011|London|HP Proliant DL380 G6|8|24|Wealth|Windows 2003 R2|2011-01-17|Good|2012-05-27|2013-10-20
SRVW0000019064|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-12-03|Good|2013-05-05|2013-10-20
SRVW0000019116|New York|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2013-01-07|Good|2013-05-23|2013-10-20
SRVW0000019128|New York|VMware Virtual|2|16|Commodities|Windows 2008 R2|2011-09-23|Good|2012-09-29|2013-10-20
SRVW0000019207|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2012-11-12|Good|2013-04-25|2013-10-20
SRVW0000019251|London|HP Proliant DL380 G8|8|32|Corporate|Windows 2008 R2|2011-09-17|Good|2012-09-26|2013-10-20
SRVW0000019333|Singapore|VMware Virtual|2|16|FX|Windows 2008 R2|2012-05-18|Good|2013-01-26|2013-10-20
SRVW0000019430|New York|HP Proliant DL380 G7|16|64|Corporate|Windows 2008 R2|2011-12-07|Good|2012-11-05|2013-10-20
SRVW0000019510|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2013-06-07|Good|2013-08-06|2013-10-20
SRVW0000019567|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2013-09-05|Good|2013-09-20|2013-10-20
SRVU0000019658|London|VMware Virtual|2|16|Retail|RHEL 6|2010-12-25|Good|2012-05-16|2013-10-20
SRVW0000019756|London|HP Proliant DL380 G5|4|8|Wealth|Windows 2008 R2|2012-05-30|Good|2013-02-01|2013-10-20
SRVW0000019797|London|HP Proliant DL380 G5|8|64|FX|Windows 2003 R2|2011-12-23|Good|2012-11-13|2013-10-20
SRVW0000019854|New York|HP Proliant DL380 G5|4|8|Commodities|Windows 2003 R2|2011-04-09|Good|2012-07-07|2013-10-20
SRVW0000019890|London|VMware Virtual|2|16|FX|Windows 2008 R2|2011-04-24|Good|2012-07-15|2013-10-20
SRVW0000019984|Tokyo|HP Proliant DL380 G7|16|144|Corporate|Windows 2003 R2|2013-05-03|Good|2013-07-20|2013-10-20
SRVU0000020073|Tokyo|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2011-02-26|Good|2012-06-16|2013-10-20
SRVU0000020172|London|VMware Virtual|2|16|Retail|RHEL 6|2012-04-23|Good|2013-01-13|2013-10-20
SRVW0000020256|London|VMware Virtual|2|16|FX|Windows 2003 R2|2013-08-11|Good|2013-09-08|2013-10-20
SRVW0000020307|Tokyo|HP Proliant DL380 G6|8|24|Commodities|Windows 2003 R2|2011-03-19|Good|2012-06-27|2013-10-20
SRVU0000020314|London|VMware Virtual|2|16|Retail|RHEL 6|2012-12-05|Good|2013-05-06|2013-10-20
SRVW0000020407|London|HP Proliant DL380 G7|16|72|Equities|Windows 2008 R2|2012-07-06|Good|2013-02-19|2013-10-20
SRVW0000020503|London|HP Proliant DL380 G5|8|32|Equities|Windows 2008 R2|2012-02-26|Good|2012-12-16|2013-10-20
SRVW0000020525|New York|HP Proliant DL380 G5|4|8|FX|Windows 2003 R2|2013-04-30|Good|2013-07-18|2013-10-20
SRVW0000020571|Singapore|VMware Virtual|2|16|Commodities|Windows 2003 R2|2011-10-10|Good|2012-10-07|2013-10-20
SRVW0000020618|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2011-07-18|Good|2012-08-26|2013-10-20
SRVU0000020633|New York|HP Proliant DL380 G6|8|24|Retail|RHEL 5|2011-04-22|Good|2012-07-14|2013-10-20
SRVU0000020709|London|VMware Virtual|2|16|Retail|RHEL 6|2011-08-02|Good|2012-09-03|2013-10-20
SRVW0000020796|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2012-08-07|Good|2013-03-07|2013-10-20
SRVW0000020882|Singapore|HP Proliant DL380 G8|8|64|Equities|Windows 2008 R2|2012-07-08|Good|2013-02-20|2013-10-20
SRVW0000020887|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2011-09-14|Good|2012-09-24|2013-10-20
SRVU0000020896|Tokyo|VMware Virtual|2|16|Retail|RHEL 6|2013-06-19|Good|2013-08-12|2013-10-20
SRVW0000020915|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2013-06-27|Good|2013-08-16|2013-10-20
SRVU0000020944|London|HP Proliant DL380 G7|16|144|Retail|RHEL 6|2013-06-22|Good|2013-08-14|2013-10-20
SRVU0000020949|London|VMware Virtual|2|16|Retail|RHEL 6|2011-11-19|Good|2012-10-27|2013-10-20
SRVW0000021009|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2013-03-20|Good|2013-06-28|2013-10-20
SRVW0000021082|London|VMware Virtual|2|16|Commodities|Windows 2003 R2|2012-01-29|Good|2012-12-02|2013-10-20
SRVU0000021112|London|HP Proliant DL380 G5|4|16|Retail|RHEL 6|2012-01-30|Good|2012-12-02|2013-10-20
SRVW0000021212|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-11-23|Good|2012-10-29|2013-10-20
SRVW0000021309|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-01-23|Good|2013-05-31|2013-10-20
SRVW0000021331|London|VMware Virtual|2|16|Equities|Windows 2003 R2|2011-08-21|Good|2012-09-12|2013-10-20
SRVU0000021430|New York|VMware Virtual|2|16|FX|RHEL 6|2011-09-14|Good|2012-09-24|2013-10-20
SRVU0000021448|London|VMware Virtual|2|16|Retail|RHEL 6|2012-08-28|Good|2013-03-18|2013-10-20
SRVU0000021482|London|VMware Virtual|2|16|Retail|RHEL 6|2013-04-04|Good|2013-07-05|2013-10-20
SRVW0000021519|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2011-04-16|Good|2012-07-11|2013-10-20
SRVU0000021604|Tokyo|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2010-12-25|Good|2012-05-16|2013-10-20
SRVU0000021613|London|VMware Virtual|2|16|Commodities|RHEL 5|2011-12-04|Good|2012-11-04|2013-10-20
SRVU0000021699|London|VMware Virtual|2|16|Retail|RHEL 6|2012-12-20|Good|2013-05-14|2013-10-20
SRVW0000021796|London|HP Proliant DL380 G7|16|72|Equities|Windows 2008 R2|2011-12-27|Good|2012-11-15|2013-10-20
SRVW0000021864|New York|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2011-01-14|Good|2012-05-26|2013-10-20
SRVU0000021896|London|HP Proliant DL380 G5|8|64|Retail|RHEL 6|2011-08-23|Good|2012-09-13|2013-10-20
SRVU0000021920|London|VMware Virtual|2|16|Wealth|RHEL 6|2011-01-05|Good|2012-05-21|2013-10-20
SRVW0000022006|London|HP Proliant DL380 G8|8|32|Commodities|Windows 2003 R2|2011-07-13|Good|2012-08-24|2013-10-20
SRVW0000022097|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-10-04|Good|2012-10-04|2013-10-20
SRVW0000022110|London|HP Proliant DL380 G7|16|72|Corporate|Windows 2008 R2|2011-06-02|Good|2012-08-03|2013-10-20
SRVW0000022176|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-01-15|Good|2012-11-25|2013-10-20
SRVU0000022226|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-06-20|Good|2013-02-11|2013-10-20
SRVU0000022306|London|VMware Virtual|2|16|Retail|RHEL 6|2012-02-04|Good|2012-12-05|2013-10-20
SRVW0000022367|London|HP Proliant DL380 G6|8|24|Commodities|Windows 2003 R2|2012-01-27|Good|2012-12-01|2013-10-20
SRVW0000022410|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-11-01|Good|2012-10-18|2013-10-20
SRVW0000022476|London|HP Proliant DL380 G5|4|8|Wealth|Windows 2003 R2|2011-10-06|Good|2012-10-05|2013-10-20
SRVW0000022533|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2012-01-22|Good|2012-11-28|2013-10-20
SRVU0000022606|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2013-07-31|Good|2013-09-02|2013-10-20
SRVW0000022656|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-05-14|Good|2012-07-25|2013-10-20
SRVU0000022716|London|HP Proliant DL380 G5|4|8|Retail|RHEL 6|2011-04-14|Good|2012-07-10|2013-10-20
SRVU0000022816|London|HP Proliant DL380 G8|8|32|Equities|RHEL 6|2012-04-09|Good|2013-01-06|2013-10-20
SRVW0000022836|Tokyo|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2011-04-14|Good|2012-07-10|2013-10-20
SRVW0000022860|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-04-05|Good|2012-07-05|2013-10-20
SRVU0000022903|London|VMware Virtual|2|16|Retail|RHEL 6|2013-01-06|Good|2013-05-22|2013-10-20
SRVU0000022966|London|HP Proliant DL380 G5|4|16|Equities|RHEL 6|2013-06-15|Good|2013-08-10|2013-10-20
SRVW0000023061|London|HP Proliant DL380 G7|16|64|Commodities|Windows 2003 R2|2012-06-09|Good|2013-02-06|2013-10-20
SRVU0000023129|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-07-01|Good|2013-02-17|2013-10-20
SRVW0000023138|London|HP Proliant DL380 G7|16|64|FX|Windows 2003 R2|2012-11-23|Good|2013-04-30|2013-10-20
SRVW0000023213|New York|HP Proliant DL380 G5|4|8|Retail|Windows 2008 R2|2012-12-08|Good|2013-05-08|2013-10-20
SRVW0000023296|London|HP Proliant DL380 G5|4|16|Corporate|Windows 2008 R2|2013-06-28|Good|2013-08-17|2013-10-20
SRVW0000023308|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2012-01-18|Good|2012-11-26|2013-10-20
SRVU0000023335|London|HP Proliant DL380 G5|8|16|Equities|RHEL 6|2010-12-28|Good|2012-05-17|2013-10-20
SRVW0000023371|London|HP Proliant DL380 G5|8|16|Corporate|Windows 2008 R2|2012-01-31|Good|2012-12-03|2013-10-20
SRVW0000023453|New York|HP Proliant DL380 G6|8|24|FX|Windows 2008 R2|2013-01-26|Good|2013-06-01|2013-10-20
SRVW0000023469|New York|HP Proliant DL380 G7|16|64|FX|Windows 2008 R2|2012-02-22|Good|2012-12-14|2013-10-20
SRVU0000023534|London|VMware Virtual|2|16|Retail|RHEL 6|2011-06-06|Good|2012-08-05|2013-10-20
SRVW0000023561|London|VMware Virtual|2|16|Equities|Windows 2003 R2|2011-11-30|Good|2012-11-02|2013-10-20
SRVU0000023629|New York|VMware Virtual|2|16|Equities|RHEL 6|2013-07-25|Good|2013-08-30|2013-10-20
SRVU0000023716|New York|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2012-01-01|Good|2012-11-18|2013-10-20
SRVW0000023811|London|HP Proliant DL380 G7|16|72|Equities|Windows 2008 R2|2013-07-10|Good|2013-08-23|2013-10-20
SRVU0000023816|New York|VMware Virtual|2|16|Equities|RHEL 5|2013-02-20|Good|2013-06-14|2013-10-20
SRVW0000023909|London|HP Proliant DL380 G5|8|16|FX|Windows 2003 R2|2013-03-09|Good|2013-06-22|2013-10-20
SRVW0000023970|London|VMware Virtual|2|16|Commodities|Windows 2003 R2|2012-04-29|Good|2013-01-16|2013-10-20
SRVU0000023986|London|VMware Virtual|2|16|Retail|RHEL 6|2012-06-06|Good|2013-02-04|2013-10-20
SRVW0000024073|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-12-04|Good|2012-11-04|2013-10-20
SRVW0000024155|New York|HP Proliant DL380 G5|8|32|Corporate|Windows 2003 R2|2013-07-07|Good|2013-08-21|2013-10-20
SRVW0000024245|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2010-12-19|Good|2012-05-13|2013-10-20
SRVW0000024269|London|VMware Virtual|2|16|Commodities|Windows 2008 R2|2011-12-28|Good|2012-11-16|2013-10-20
SRVW0000024275|London|HP Proliant DL380 G5|8|16|Commodities|Windows 2003 R2|2013-05-21|Good|2013-07-29|2013-10-20
